ID,Title,Year,Rating,Director,Actors,Genres
tt4729896,Apostasy,2017,6.9,Daniel Kokotajlo,"['Molly Wright', 'Poppy Jhakra', 'Siobhan Finneran']",['Drama']
tt0292166,Paadha Mudhra,1988,6.7,R. Sukumaran,"['Mohanlal', 'Mala Aravindan', 'Kalasala Babu']",['Drama']
tt12819438,Hridayamithu Madbaha - Najim Arshad,2020,,,,"['Short', 'Musical']"
tt12867856,The Fight For A Cause,2020,8.1,Asim Abbasi,"['Sarwat Gilani', 'Yasra Rizvi', 'Nimra Bucha']","['Drama', 'Mystery', 'Thriller']"
tt11000040,Navaratri,2019,5.2,Lakshmikanth Chenna,"['Hridaya Avanthi', 'Karthik', 'Shiv Manju']",['Drama']
tt0279503,Vetrikku Oruvan,1979,5.5,S.P. Muthuraman,"['Shivaji Ganesan', 'M.N. Nambiar', 'V.K. Ramasamy']",
tt3913224,Behram Daku,1959,,,"['Chitra', 'Manher Desai', 'Habib']",['Action']
tt0388354,Priyasakhi,1953,,G.R. Rao,,
tt9605894,Nishabdham,2020,5.3,Hemant Madhukar,"['Anushka Shetty', 'Madhavan', 'Anjali']","['Horror', 'Mystery', 'Thriller']"
tt5501106,Kaaki,2015,,M. Manon,"['Ashok Kumar', 'Ashok Kumar', 'Meghashree']",['Thriller']
tt0353595,Kadal,1994,5.3,Siddique Shameer,"['Anju', 'Babu Antony', 'Beena Antony']",
tt2746626,Sohna Puttar,1971,,Rehmat Ali,"['Allauddin', 'Deeba Begum', 'Shahid Hameed']",
tt8609776,Flying Man,1947,,Nanubhai Vakil,"['Amirbai Karnataki', 'Yunus', 'Rafique']",['Action']
tt4191608,Nadaniyaan,2008,8.7,,"['Yasir Nawaz', 'Nida Yasir', 'Danish Nawaz']",['Comedy']
tt12117528,Kanni Maadam,2020,7.1,Bose Venkat,"['Chaya Devi', 'Sriram Karthik', 'Murugadass']","['Drama', 'Romance']"
tt4921860,MSG 2 the Messenger,2015,7.2,Gurmeet Ram Rahim Singh,"['Muntazir Ahmad', 'Charanpreet Insan', 'Honeypreet Insan']","['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror']"
tt0355169,Aaram Thamburan,1997,8.1,Shaji Kailas,"['Mohanlal', 'Manju Warrier', 'Narendra Prasad']","['Action', 'Drama']"
tt3840534,Junooniyat,2016,4.1,Vivek Agnihotri,"['Pulkit Samrat', 'Yami Gautam', 'Gulshan Devaiah']","['Drama', 'Romance']"
tt0420332,Veer-Zaara,2004,7.8,Yash Chopra,"['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji']","['Drama', 'Family', 'Musical', 'Romance']"
tt0247908,Aai Aahe Shetat,1970,,Prabhakar Manajirao Nayak,,
tt8524684,Bansuri,1981,7.7,Tulsi Ghimire,"['Rakesh Pandey', 'Banni Pradhan', 'Rajani Sharma']","['Drama', 'Romance']"
tt2777740,Tuthuri,2006,,P. Sheshadri,"['Master Anirudha', 'Baby Annapoorna', 'H.G. Dattatreya']",['Adventure']
tt9670302,Karma Chakra,2019,8.0,,"['Jai Shringarpure', 'Eshita Shah', 'Tanuuj Shrivasttava']",['Horror']
tt0371063,Pardesi Pankhi,1937,,,"['Eddie Billimoria', 'Noor Mohammad Charlie', 'Dixit']",
tt11536684,Ek Sainik: The Tale of a Warrior,2020,9.4,Pratyush Sharma,"['Pratyush Sharma', 'Shivani Pathak', 'Priyom Gautam']","['Action', 'Drama']"
tt0102645,Patthar Ke Phool,1991,5.5,Anant Balani,"['Salman Khan', 'Raveena Tandon', 'Kiran Kumar']","['Action', 'Drama', 'Romance']"
tt6522352,Fugay,2017,6.1,Swapna Joshi,"['Akshata', 'Sandeep Avchat', 'Prarthana Behere']",['Drama']
